id,type,sentence,hasQuestion,question,answer
101,1,El avión despegó puntualmente a la siete de la mañana.,True,El avión despegó con retraso.,NO
101,1,Clara fue con su hermanas a la farmacia después del desayuno.,True,Clara fue a la farmacia con su hermana.,SI
101,1,El perro corrió felizmente a su dueño cuando le reconoció.,True,El dueño fue reconocido por su gato.,NO
101,1,El bebé sonreí dulcemente a su madre desde la cuna.,True,El bebé sonrió a su madre.,SI
101,1,Los campesinos llegaron cansado a casa justo antes del anochecer.,True,LLegaron a casa después del aconecher.,NO
100,1,Mis padres viajan en avión a Argentina cada verano.,True,Viajan a Argentina cada invierno.,NO
100,1,Estuvieron caminando a la orilla del mar toda la tarde.,False,,
101,1,La película empiezan exactamente a las ocho en punto.,False,,
100,1,Laura se fue de vacaciones a Londres la semana pasada.,True,Laura se fue a Inglaterra.,SI
101,1,El jefe convocó urgentemente a reunión a todos el empleados.,False,,
100,1,Me encontré inesperadamente a Paula en el tren de las siete.,False,,
101,1,María se despertó sobresaltado a los gritos de su hermano.,False,,
100,1,El autobús llegó con retraso a la parada equivocada del centro.,True,El autobus llegó puntual.,NO
100,1,Vamos caminando todos los días a pie hasta el colegio.,False,,
100,1,El anciano hablaba a solas consigo mismo en el jardín.,False,,
100,1,El gato saltó a la mesa para robar la comida.,False,,
101,0,María dio el libro su hermana en la biblioteca.,True,Maria y su hermana estaban en la biblioteca.,SI
100,0,Ana escribió una carta a su abuela desde la playa.,True,Ana escribió la carta desde la playa.,SI
100,0,Lucía ofreció un café a su compañero en la cocina.,True,Lucía y su compañero estaban en el salón.,NO
101,0,El camarero trajo el cuenta a los clientes con una sonrisa.,True,El camarero sonrió.,SI
101,0,El profesor explicó la lección los alumnos en clase.,True,El profesor y los alumnos estaban fuera del aula.,NO
100,0,Mi madre preparó la cena a toda la familia en casa.,True,La cena se preparó en casa.,SI
101,0,Pedro devolvió el libro la biblioteca el lunes pasado.,False,,
101,0,Laura mostró las fotos a sus amigas en la parque.,False,,
101,0,Luis envíe un paquete a su primo en Alemania.,True,Luis envió un paquete a su hermano.,NO
100,0,El jefe asignó una tarea a cada empleado en la reunión.,False,,
100,0,Julia pasó la sal a su madre durante la cena.,False,,
101,0,Sara contó la historia a sus hijo antes de dormir.,False,,
101,0,Jorge compró un regalo su novia en el centro comercial.,False,,
100,0,Miguel alquiló una bicicleta a un turista en la estación.,False,,
100,0,Mi hermano vendió su coche a un amigo de la universidad.,False,,
100,0,Isabel enseñó la receta a su prima en la cocina.,False,,
100,0,Andrés cantó una canción a su hija antes de acostarla.,True,Andrés contó una historia,NO
100,0,El técnico reparó el ordenador a un cliente en la tienda.,False,,
100,0,Rosa recomendó un libro a su colega durante el almuerzo.,False,,
100,0,El mensajero entregó el paquete a Marta en su casa.,False,,
100,2,El niño juega en el parque con su mejor amigo.,True,El niño juega solo en el parque.,NO
100,2,El gato duerme tranquilo sobre la manta cerca del sofá.,True,El gato está sobre la manta cerca del sofá.,SI
100,2,Ayer fueron al cine a ver una película divertida.,True,Ayer fueron al teatro.,NO
100,2,El coche rojo aparcó frente a la casa de Marta.,True,El coche era azul.,NO
100,2,Ellos corren todas las mañanas por el parque del centro.,True,Ellos corren en el centro.,SI
100,2,Nos encontramos con Ana después de clase en la biblioteca.,True,Ana estaba en la biblioteca.,SI
101,2,Salimos temprano para evitar el tráfico la carretera.,False,,
101,2,El perro ladran fuerte cada vez que pasa un coche.,False,,
100,2,El tren llegó puntual a la estación bajo la lluvia.,True,El tren llegó con retraso.,NO
101,2,Marta baila salsa con entusiasmo en las fiesta grandes.,False,,
100,2,El avión aterrizó sin problemas en el aeropuerto de Madrid.,False,,
101,2,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,True,Ayer estudiaron matemáticas.,SI
101,2,Mi primo viaja sola por Europa durante el verano próximo.,False,,
101,2,Me gusta caminar la ciudad cuando hace buen tiempo.,False,,
100,2,El viento soplaba fuerte durante la tormenta de anoche.,False,,
100,2,El bebé lloraba constantemente durante la noche sin razón aparente.,True,El bebé dormía plácidamente.,No
100,2,El niño duerme tranquilo en su cama todas las noches.,False,,
100,2,Los pájaros vuelan alto sobre los árboles en primavera alegre.,False,,
100,2,Carlos estornudó fuerte en medio de la reunión ayer.,False,,
100,2,La lluvia cayó fuerte sobre el techo durante toda la noche.,False,,
