id,type,DOM,sentence,surprisal_list,surprisal_obj
7,1,1,Tomás empujó a una vieja a la puerta en pocos segundos.,"[('ĠempujÃ³', 5.56825339389981), ('Ġa', 1.9724346262153798), ('Ġuna', 6.266706583861435), ('Ġvieja', 4.344815594942824), ('Ġa', 8.07007538497264), ('Ġla', 1.1383765557014478), ('Ġpuerta', 3.5165691621668485), ('Ġen', 9.467686205833823), ('Ġpocos', 7.754485844778179), 0.7748850317274707]",4.344815594942824
7,4,0,Tomás empujó una vieja a la puerta en pocos segundos.,"[('ĠempujÃ³', 5.56825339389981), ('Ġuna', 4.508422002778011), ('Ġvieja', 7.393812084555938), ('Ġa', 13.435097568278472), ('Ġla', 1.05384364314936), ('Ġpuerta', 2.7050532016668063), ('Ġen', 9.828359966056064), ('Ġpocos', 7.06131596185106), 0.7882694095482179]",7.393812084555938
7,2,1,Tomás empujó a la silla a la puerta en pocos segundos.,"[('ĠempujÃ³', 5.56825339389981), ('Ġa', 1.9724346262153798), ('Ġla', 3.4714849421390683), ('Ġsilla', 3.7476037760299112), ('Ġa', 6.356875023916995), ('Ġla', 3.2009796219723876), ('Ġpuerta', 2.6825110916529162), ('Ġen', 10.955465466750566), ('Ġpocos', 6.424149133489698), 0.4754976331054933]",3.7476037760299112
7,5,0,Tomás empujó la silla a la puerta en pocos segundos.,"[('ĠempujÃ³', 5.56825339389981), ('Ġla', 2.1527715063265003), ('Ġsilla', 3.2009796219723876), ('Ġa', 5.635527503472513), ('Ġla', 3.0657269618890473), ('Ġpuerta', 2.7275953116806964), ('Ġen', 11.451391887056147), ('Ġpocos', 6.593479123945599), 0.45859105059507577]",3.2009796219723876
11,0,1,Valeria neutralizó a la criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.8803251000376), ('Ġa', 2.7839505867154215), ('Ġla', 4.598590442833571), ('Ġcriminal', 11.406307667028367), ('Ġen', 4.328085122666891), ('Ġla', 3.0657269618890473), ('Ġfrontera', 4.891637873014142), ('Ġen', 9.197180885667143), ('Ġcinco', 10.279202166333864), 0.6354057260165259]",11.406307667028367
11,1,1,Valeria neutralizó a una criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.8803251000376), ('Ġa', 2.7839505867154215), ('Ġuna', 4.959264203055812), ('Ġcriminal', 13.435097568278472), ('Ġen', 3.426400722111288), ('Ġla', 3.381316502083508), ('Ġfrontera', 4.12520613254188), ('Ġen', 9.648023085944944), ('Ġcinco', 12.262907847556189), 0.7636139767205256]",13.435097568278472
11,3,0,Valeria neutralizó la criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.8803251000376), ('Ġla', 3.5165691621668485), ('Ġcriminal', 14.787624169111876), ('Ġen', 9.738191526000504), ('Ġla', 3.1558954019446075), ('Ġfrontera', 4.621132552847461), ('Ġen', 8.611086025306001), ('Ġcinco', 10.730044366611665), 0.7762939136033388]",14.787624169111876
11,4,0,Valeria neutralizó una criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.8803251000376), ('Ġuna', 3.8772429223890894), ('Ġcriminal', 16.50082453016752), ('Ġen', 4.10266402252799), ('Ġla', 2.930474301805707), ('Ġfrontera', 4.0801219125141), ('Ġen', 9.107012445611582), ('Ġcinco', 12.62358160777843), 0.8932311093003934]",16.50082453016752
11,2,1,Valeria neutralizó a la bomba en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.76761454996815), ('Ġa', 2.8853900817779268), ('Ġla', 4.553506222805791), ('Ġbomba', 5.184685303194712), ('Ġen', 3.313690172041838), ('Ġla', 2.6825110916529162), ('Ġfrontera', 4.959264203055812), ('Ġen', 9.242265105694923), ('Ġcinco', 8.926675565500462), 0.6135680569405699]",5.184685303194712
11,5,0,Valeria neutralizó la bomba en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.8803251000376), ('Ġla', 3.5165691621668485), ('Ġbomba', 2.8064926967293116), ('Ġen', 3.313690172041838), ('Ġla', 3.0657269618890473), ('Ġfrontera', 4.914179983028032), ('Ġen', 9.061928225583802), ('Ġcinco', 8.11515960500042), 0.4631699166916472]",2.8064926967293116
