id,type,DOM,sentence,surprisal_list,surprisal_obj
7,1,1,Tomás empujó a una vieja a la puerta en pocos segundos.,"[('ĠTomÃ¡s', 26.295685027557923), ('ĠempujÃ³', 18.94201506957457), ('Ġa', 1.634949802756924), ('Ġuna', 6.0566283999713075), ('Ġvieja', 8.839995621535003), ('Ġa', 3.6125970511373047), ('Ġla', 1.81331644961976), ('Ġpuerta', 6.568172908767042), ('Ġen', 2.283547930960171), ('Ġpocos', 11.770177552834243), ('Ġsegundos.', 1.4418607530496281), 19.33390780851203]",8.839995621535003
7,4,0,Tomás empujó una vieja a la puerta en pocos segundos.,"[('ĠTomÃ¡s', 26.295685027557923), ('ĠempujÃ³', 18.94201506957457), ('Ġuna', 5.991635468279648), ('Ġvieja', 10.819462962309464), ('Ġa', 9.259445484585513), ('Ġla', 1.5528674709969803), ('Ġpuerta', 4.551353000016989), ('Ġen', 2.2943696096322994), ('Ġpocos', 11.901134774229634), ('Ġsegundos.', 1.375353213147483), 19.167289984460236]",10.819462962309464
7,2,1,Tomás empujó a la silla a la puerta en pocos segundos.,"[('ĠTomÃ¡s', 26.295685027557923), ('ĠempujÃ³', 18.94201506957457), ('Ġa', 1.634949802756924), ('Ġla', 3.0154763830293483), ('Ġsilla', 6.91573815134052), ('Ġa', 3.118211595383454), ('Ġla', 2.1298580857693974), ('Ġpuerta', 7.080737618647695), ('Ġen', 2.4965950943478066), ('Ġpocos', 11.396585831740394), ('Ġsegundos.', 1.2655098503440607), 19.330684853634864]",6.91573815134052
7,5,0,Tomás empujó la silla a la puerta en pocos segundos.,"[('ĠTomÃ¡s', 26.295685027557923), ('ĠempujÃ³', 18.94201506957457), ('Ġla', 2.80547576331476), ('Ġsilla', 3.3386837227611266), ('Ġa', 4.599761644685946), ('Ġla', 1.3936384515828797), ('Ġpuerta', 5.6742036499291455), ('Ġen', 2.4230949548398932), ('Ġpocos', 11.288284916839066), ('Ġsegundos.', 1.318403845543184), 19.189765709170896]",3.3386837227611266
11,0,1,Valeria neutralizó a la criminal en la frontera en cinco minutos.,"[('ĠValeria', 26.34911522166677), ('ĠneutralizÃ³', 12.606967051809177), ('Ġa', 2.300180416120776), ('Ġla', 2.863987356826003), ('Ġcriminal', 13.160504564466084), ('Ġen', 1.2951065812071867), ('Ġla', 2.3907267020602823), ('Ġfrontera', 11.541303041066017), ('Ġen', 2.1631887247994617), ('Ġcinco', 8.91205841603833), ('Ġminutos.', 2.1594850210855805), 17.84714324523538]",13.160504564466084
11,1,1,Valeria neutralizó a una criminal en la frontera en cinco minutos.,"[('ĠValeria', 26.34911522166677), ('ĠneutralizÃ³', 12.606967051809177), ('Ġa', 2.300180416120776), ('Ġuna', 5.677020037819675), ('Ġcriminal', 13.77499444841528), ('Ġen', 1.228887366636241), ('Ġla', 2.924127454058266), ('Ġfrontera', 9.218443444758613), ('Ġen', 2.0233412687265138), ('Ġcinco', 9.818561082540505), ('Ġminutos.', 1.789775894326286), 17.928294978871506]",13.77499444841528
11,3,0,Valeria neutralizó la criminal en la frontera en cinco minutos.,"[('ĠValeria', 26.34911522166677), ('ĠneutralizÃ³', 12.606967051809177), ('Ġla', 2.6405468088944386), ('Ġcriminal', 16.00906696931885), ('Ġen', 3.2631140873516062), ('Ġla', 2.53045572658028), ('Ġfrontera', 10.516331845343505), ('Ġen', 2.1150671478385688), ('Ġcinco', 8.691253330248587), ('Ġminutos.', 1.8440227480527585), 17.81840253651909]",16.00906696931885
11,4,0,Valeria neutralizó una criminal en la frontera en cinco minutos.,"[('ĠValeria', 26.34911522166677), ('ĠneutralizÃ³', 12.606967051809177), ('Ġuna', 5.219625986474604), ('Ġcriminal', 17.592735501189456), ('Ġen', 2.423847995208584), ('Ġla', 2.741829455779357), ('Ġfrontera', 8.856470183626453), ('Ġen', 2.061911147819772), ('Ġcinco', 9.525521219596571), ('Ġminutos.', 1.5762757716319409), 17.900383570497677]",17.592735501189456
11,2,1,Valeria neutralizó a la bomba en la frontera en cinco minutos.,"[('ĠValeria', 26.34911522166677), ('ĠneutralizÃ³', 12.606967051809177), ('Ġa', 2.300180416120776), ('Ġla', 2.863987356826003), ('Ġbomba', 11.401596718255933), ('Ġen', 1.4118758107648706), ('Ġla', 2.12101439389673), ('Ġfrontera', 10.397534485294718), ('Ġen', 2.0470952329918775), ('Ġcinco', 9.450139847862195), ('Ġminutos.', 1.653912781823708), 17.827176059470204]",11.401596718255933
11,5,0,Valeria neutralizó la bomba en la frontera en cinco minutos.,"[('ĠValeria', 26.34911522166677), ('ĠneutralizÃ³', 12.606967051809177), ('Ġla', 2.6405468088944386), ('Ġbomba', 8.472646870667473), ('Ġen', 1.6220111860523538), ('Ġla', 2.3117321468139296), ('Ġfrontera', 9.530640111216853), ('Ġen', 2.1132482521570997), ('Ġcinco', 9.120727030121985), ('Ġminutos.', 1.3808355901003624), 17.863252516176395]",8.472646870667473
32,0,1,Martín buscó a la médica en el hospital durante dos horas.,"[('ĠMartÃŃn', 22.939151913394348), ('ĠbuscÃ³', 13.663596469937213), ('Ġa', 2.416780181856838), ('Ġla', 3.627925176878103), ('ĠmÃ©dica', 11.629171041183636), ('Ġen', 1.4795648589380408), ('Ġel', 1.8942989523274358), ('Ġhospital', 2.548218438726692), ('Ġdurante', 8.709928582340478), ('Ġdos', 5.200127281450382), ('Ġhoras.', 2.244736047196346), 18.4836840567476]",11.629171041183636
32,1,1,Martín buscó a una médica en el hospital durante dos horas.,"[('ĠMartÃŃn', 22.939151913394348), ('ĠbuscÃ³', 13.663596469937213), ('Ġa', 2.416780181856838), ('Ġuna', 5.499820809190895), ('ĠmÃ©dica', 12.011487098190452), ('Ġen', 1.4513016376583001), ('Ġel', 2.0203522604161246), ('Ġhospital', 1.8001798987989062), ('Ġdurante', 9.1130160159879), ('Ġdos', 5.314243273742683), ('Ġhoras.', 2.7457744798161734), 18.430961399264397]",12.011487098190452
32,3,0,Martín buscó la médica en el hospital durante dos horas.,"[('ĠMartÃŃn', 22.939151913394348), ('ĠbuscÃ³', 13.663596469937213), ('Ġla', 3.591747938338508), ('ĠmÃ©dica', 18.529778158901244), ('Ġen', 1.2630470946134242), ('Ġel', 1.9017217235386747), ('Ġhospital', 2.8241214343907024), ('Ġdurante', 9.33630797090912), ('Ġdos', 4.862374337039231), ('Ġhoras.', 2.3134612603857043), 18.529392917763314]",18.529778158901244
32,4,0,Martín buscó una médica en el hospital durante dos horas.,"[('ĠMartÃŃn', 22.939151913394348), ('ĠbuscÃ³', 13.663596469937213), ('Ġuna', 4.778682419649863), ('ĠmÃ©dica', 15.216987800088722), ('Ġen', 1.2272335895272313), ('Ġel', 2.254034891154522), ('Ġhospital', 1.9787064895270445), ('Ġdurante', 9.656221842876874), ('Ġdos', 5.113433578872854), ('Ġhoras.', 2.987110166535315), 18.566183446435886]",15.216987800088722
32,2,1,Martín buscó a la escalera en el hospital durante dos horas.,"[('ĠMartÃŃn', 22.939151913394348), ('ĠbuscÃ³', 13.663596469937213), ('Ġa', 2.416780181856838), ('Ġla', 3.627925176878103), ('Ġescalera', 12.882089418220922), ('Ġen', 1.6164754120693534), ('Ġel', 1.9101483574829998), ('Ġhospital', 8.671684456302813), ('Ġdurante', 9.288627500783914), ('Ġdos', 5.145665191436355), ('Ġhoras.', 1.9996655852310679), 18.83505940296829]",12.882089418220922
