acceptability,affectedness,answer,comprehension,hasQuestion,id,live_row,offline,practice,question,response,sentence,subject_nr,type,catalan,latin
0,no,0,0,0,100,0,no,yes,0,"[1.83707857131958, 0.6607108116149902, 0.4254486560821533, 0.35628414154052734, 0.32099151611328125, 0.32044363021850586, 0.451030969619751, 0.2158362865447998, 0.388408899307251, 0.6474237442016602]",El ladrón escapó a toda prisa por la puerta trasera.,10,1,0,1
0,no,NO,E,1,100,1,no,yes,Llegaron a la universidad cuando ya estaba cerrada.,"[2.2201786041259766, 0.6613891124725342, 0.3625361919403076, 0.33087801933288574, 0.2942824363708496, 0.3382568359375, 0.09807777404785156, 0.2383403778076172, 0.6644022464752197, 1.870800495147705]",Los estudiantes llegaron a la universidad antes de que cerrara.,10,1,0,1
0,no,0,0,0,100,2,no,yes,0,"[0.8078668117523193, 0.3774573802947998, 0.47696828842163086, 0.4115104675292969, 0.38823533058166504, 0.3612990379333496, 0.3227424621582031, 0.3448367118835449, 0.5469939708709717]",Los niños corrieron a la plaza con sus amigos.,10,1,0,1
0,no,0,0,0,100,3,no,yes,0,"[0.08674502372741699, 1.2739639282226562, 0.886132001876831, 0.6490859985351562, 0.6733839511871338, 0.5039527416229248, 0.4808173179626465, 0.5147898197174072, 0.4173152446746826, 0.7161664962768555]",La conferencia empezará con puntualidad a las diez y media.,10,1,0,1
0,no,0,0,0,7,0,no,no,0,"[1.106499433517456, 0.7009484767913818, 0.39739084243774414, 0.069549560546875, 0.673572301864624, 0.8524808883666992, 0.45762133598327637, 0.09879469871520996, 0.8937582969665527, 0.5461807250976562, 1.438833475112915]",Tomás empujó a la vieja a la puerta en pocos segundos.,10,0,0,1
0,no,0,0,0,100,1,no,no,0,"[1.3371951580047607, 0.5908193588256836, 0.4099845886230469, 0.3760805130004883, 0.7506086826324463, 0.3708987236022949, 0.3973245620727539, 0.46175408363342285, 0.4143943786621094, 0.7223138809204102]",Estuvieron caminando a la orilla del mar toda la tarde.,10,1,0,1
0,no,NO,A,1,101,2,no,no,El profesor y los alumnos estaban fuera del aula.,"[0.9222543239593506, 0.3794403076171875, 0.4234619140625, 0.38449835777282715, 0.42021775245666504, 0.4017629623413086, 0.10790014266967773, 2.168543815612793, 1.3867807388305664]",El profesor explicó la lección los alumnos en clase.,10,0,0,1
0,no,0,0,0,100,3,no,no,0,"[0.7803444862365723, 0.567638635635376, 0.7177543640136719, 0.44039106369018555, 0.5512661933898926, 0.6219673156738281, 0.4739851951599121, 0.6523106098175049, 0.5554251670837402, 0.9088597297668457, 2.611706495285034]",El jefe asignó una tarea a cada empleado en la reunión.,10,0,0,1
0,no,SI,A,1,101,4,no,no,Ayer estudiaron matemáticas.,"[2.792830228805542, 0.6228642463684082, 0.5847480297088623, 0.7213635444641113, 2.507678747177124, 2.4090824127197266, 0.6478374004364014, 0.6306478977203369, 0.4714779853820801, 1.5973055362701416]",Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,10,2,0,1
0,no,0,0,0,101,5,no,no,0,"[0.6242215633392334, 0.39685988426208496, 0.6226706504821777, 1.2151329517364502, 0.3191835880279541, 0.3382582664489746, 0.5205235481262207, 0.3787658214569092, 0.5710999965667725]",La película empiezan exactamente a las ocho en punto.,10,1,0,1
0,no,0,0,0,11,6,no,no,0,"[0.5646665096282959, 1.3396708965301514, 0.6726863384246826, 0.39332056045532227, 0.5579123497009277, 0.3879573345184326, 0.41214585304260254, 0.7191076278686523, 0.41649794578552246, 0.5383329391479492, 0.6136810779571533]",Valeria neutralizó a una criminal en la frontera en cinco minutos.,10,1,0,1
0,no,SI,A,1,32,7,no,no,Martin estaba en el hospital.,"[0.899547815322876, 0.4059181213378906, 0.37296509742736816, 0.3652830123901367, 0.41455984115600586, 0.3566467761993408, 0.35514211654663086, 0.48766398429870605, 0.44152212142944336, 0.36049890518188477, 0.7539360523223877]",Martín buscó a la médica en el hospital durante dos horas.,10,0,0,1
0,no,0,0,0,48,8,no,no,0,"[0.5547730922698975, 0.5292234420776367, 0.405550479888916, 1.0391016006469727, 0.711496114730835, 0.7465245723724365, 0.5749716758728027, 0.7569854259490967, 0.4013206958770752, 0.38947105407714844]",Samuel descubrió la infiltrada en el museo en pocas horas.,10,3,0,1
0,no,NO,E,1,31,9,no,no,Miguel tuvo que esperar una semana.,"[0.644723653793335, 0.41162610054016113, 0.35752320289611816, 0.5333385467529297, 0.6031227111816406, 0.7070529460906982, 0.5404908657073975, 0.3932626247406006, 0.3473949432373047, 0.5683021545410156]",Miguel recibió la invitada en la casa en un día.,10,3,0,1
0,no,SI,A,1,37,10,no,no,Isabel miraba por la ventana.,"[0.5088601112365723, 0.4348933696746826, 0.7486999034881592, 0.6584692001342773, 0.5480196475982666, 0.6011409759521484, 0.6931018829345703, 0.5148797035217285, 0.3530266284942627, 0.619586706161499]",Isabel vió la estudiante desde su ventana durante una mañana.,10,3,0,1
0,no,0,0,0,100,11,no,no,0,"[0.6454007625579834, 0.2743344306945801, 0.7996728420257568, 0.6075396537780762, 0.4879951477050781, 0.44248437881469727, 0.4186570644378662, 0.34255146980285645, 0.36699461936950684, 0.5930283069610596]",Miguel alquiló una bicicleta a un turista en la estación.,10,0,0,1
0,no,NO,E,1,12,12,no,no,El combate duró varias horas.,"[0.6134521961212158, 0.4040110111236572, 0.7381575107574463, 1.2970373630523682, 0.28479790687561035, 0.3594520092010498, 0.43480587005615234, 0.3237485885620117, 0.5371785163879395, 0.5325729846954346]",Paula abatió una contrincante en el ring en pocos minutos.,10,4,0,1
0,no,NO,E,1,2,13,no,no,La acción tuvo lugar en el parque.,"[0.5243546962738037, 0.37178540229797363, 0.4081687927246094, 0.35446906089782715, 0.38260650634765625, 0.39252710342407227, 0.34368062019348145, 0.3829176425933838, 0.3834667205810547, 0.33635425567626953, 5.300657510757446]",Simón pateó a la pelota en la cancha en un instante.,10,2,0,1
0,no,NO,E,1,101,14,no,no,El dueño fue reconocido por su gato.,"[0.4598844051361084, 0.4459187984466553, 0.8224384784698486, 0.7628047466278076, 0.5291428565979004, 0.3338291645050049, 0.30405402183532715, 0.28533363342285156, 0.3522758483886719, 0.6002051830291748]",El perro corrió felizmente a su dueño cuando le reconoció.,10,1,0,1
