id,type,DOM,sentence,surprisal_list,surprisal_obj
7,1,1,Tomás empujó a una vieja a la puerta en pocos segundos.,"[('ĠempujÃ³', 6.1924651131369775), ('Ġa', 5.877855186121832), ('Ġuna', 7.6192331846948385), ('Ġvieja', 4.901147825676251), ('Ġa', 9.614209920924107), ('Ġla', 1.4553749777717766), ('Ġpuerta', 5.232856783788131), ('Ġen', 6.948605411781609), ('Ġpocos', 7.9784980630412115), 1.295114664391777]",4.901147825676251
7,4,0,Tomás empujó una vieja a la puerta en pocos segundos.,"[('ĠempujÃ³', 6.1924651131369775), ('Ġuna', 5.565083409679107), ('Ġvieja', 6.612410974152577), ('Ġa', 13.040610643035397), ('Ġla', 5.119876736904779), ('Ġpuerta', 3.3789414216750924), ('Ġen', 7.050044906844114), ('Ġpocos', 9.230994050687977), 1.633598535069095]",6.612410974152577
7,2,1,Tomás empujó a la silla a la puerta en pocos segundos.,"[('ĠempujÃ³', 6.1924651131369775), ('Ġa', 5.877855186121832), ('Ġla', 2.390872543348214), ('Ġsilla', 1.9826930473740445), ('Ġa', 8.458926782712243), ('Ġla', 2.655742336011422), ('Ġpuerta', 5.807598209452563), ('Ġen', 6.368146078923941), ('Ġpocos', 8.449064609581166), 2.0795096487813574]",1.9826930473740445
7,5,0,Tomás empujó la silla a la puerta en pocos segundos.,"[('ĠempujÃ³', 6.1924651131369775), ('Ġla', 3.0065539231025857), ('Ġsilla', 1.7947153220503913), ('Ġa', 9.073199280590746), ('Ġla', 1.568085527841227), ('Ġpuerta', 6.12660332509316), ('Ġen', 5.849677548604469), ('Ġpocos', 7.981315826792947), 1.8121743128353802]",1.7947153220503913
11,0,1,Valeria neutralizó a la criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.835710507301775), ('Ġa', 3.634915239739771), ('Ġla', 4.01249558247243), ('Ġcriminal', 12.44324472766731), ('Ġen', 4.753567449179065), ('Ġla', 2.2908419301615766), ('Ġfrontera', 6.633168850155091), ('Ġen', 6.824623806705214), ('Ġcinco', 11.913505142340894), 1.537442347041095]",12.44324472766731
11,1,1,Valeria neutralizó a una criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.835710507301775), ('Ġa', 3.634915239739771), ('Ġuna', 7.506522634625388), ('Ġcriminal', 13.919752933577108), ('Ġen', 3.950504779934232), ('Ġla', 2.2880241664098406), ('Ġfrontera', 5.708833732541579), ('Ġen', 5.872219658618359), ('Ġcinco', 12.454515782674255), 2.302817426106456]",13.919752933577108
11,3,0,Valeria neutralizó la criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.835240880009819), ('Ġla', 2.479632101527906), ('Ġcriminal', 22.666091618966448), ('Ġen', 9.298620380729647), ('Ġla', 2.402143598355159), ('Ġfrontera', 6.261368758326606), ('Ġen', 6.542847431531588), ('Ġcinco', 9.845266548566482), 1.4567838596476448]",22.666091618966448
11,4,0,Valeria neutralizó una criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.835240880009819), ('Ġuna', 8.994301895542131), ('Ġcriminal', 16.72624563030642), ('Ġen', 4.733843102916912), ('Ġla', 2.5852982422180157), ('Ġfrontera', 5.613075168402373), ('Ġen', 5.821499911087106), ('Ġcinco', 12.454515782674255), 1.4814392924753368]",16.72624563030642
11,2,1,Valeria neutralizó a la bomba en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.83383199813395), ('Ġa', 3.634915239739771), ('Ġla', 4.006860054968957), ('Ġbomba', 5.273480633765784), ('Ġen', 3.8349764661130457), ('Ġla', 3.2742414795175305), ('Ġfrontera', 5.849882551924297), ('Ġen', 5.545359063416953), ('Ġcinco', 10.431361408927623), 2.512036384672873]",5.273480633765784
11,5,0,Valeria neutralizó la bomba en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 10.835710507301775), ('Ġla', 2.4838587471555105), ('Ġbomba', 3.266186156116418), ('Ġen', 3.324961227048783), ('Ġla', 3.136171055682454), ('Ġfrontera', 6.244382891814141), ('Ġen', 5.700336069762447), ('Ġcinco', 9.681836250965778), 1.9407347840083469]",3.266186156116418
