answer,comprehension,question,sentence,subject_nr
NO,A,El profesor y los alumnos estaban fuera del aula.,El profesor explicó la lección los alumnos en clase.,10
SI,A,Ayer estudiaron matemáticas.,Nos sentamos juntos para estudiando matemáticas toda la tarde ayer.,10
SI,A,Martin estaba en el hospital.,Martín buscó a la médica en el hospital durante dos horas.,10
NO,E,Miguel tuvo que esperar una semana.,Miguel recibió la invitada en la casa en un día.,10
SI,A,Isabel miraba por la ventana.,Isabel vió la estudiante desde su ventana durante una mañana.,10
NO,E,El combate duró varias horas.,Paula abatió una contrincante en el ring en pocos minutos.,10
NO,E,La acción tuvo lugar en el parque.,Simón pateó a la pelota en la cancha en un instante.,10
NO,E,El dueño fue reconocido por su gato.,El perro corrió felizmente a su dueño cuando le reconoció.,10
SI,A,Ellos corren en el centro.,Ellos corren todas las mañanas por el parque del centro.,10
SI,A,Clara fue a la farmacia con su hermana.,Clara fue con su hermanas a la farmacia después del desayuno.,10
SI,A,Emma pasó semanas investigando.,Emma investigó a la empresaria en la ciudad durante varias semanas.,10
SI,A,La acción tuvo lugar en la calle.,Juan golpeó la piedra en la calle en diez segundos.,10
SI,A,Valeria fue a un concierto.,Valeria admiró la escenografía en el teatro durante el concierto.,10
SI,A,Anna estaba en la escuela.,Anna comprendió a la tarea en la escuela en dos minutos.,10
SI,A,Maria y su hermana estaban en la biblioteca.,María dio el libro su hermana en la biblioteca.,10
NO,E,La guerra duró más de dos años.,Valentina venció una adversaria en la guerra en dos años.,10
NO,E,María iba en bicicleta.,María transportó la guitarra en la furgoneta durante un día.,10
SI,E,Lo que Pedro hizo fue un secuestro.,Pablo secuestró la camioneta en el aeropuerto durante una hora.,10
SI,A,El camarero sonrió.,El camarero trajo el cuenta a los clientes con una sonrisa.,10
NO,E,Andrés contó una historia,Andrés cantó una canción a su hija antes de acostarla.,10
SI,A,Lucia estuvo en una pelea de bar.,Lucía destrozó a una oponente en el bar en diez minutos.,10
SI,A,El bebé sonrió a su madre.,El bebé sonreí dulcemente a su madre desde la cuna.,10
NO,E,Viajan a Argentina cada invierno.,Mis padres viajan en avión a Argentina cada verano.,10
NO,E,LLegaron a casa después del aconecher.,Los campesinos llegaron cansado a casa justo antes del anochecer.,10
SI,A,Helena estaba jugando un partido de fútbol.,Helena derribó la futbolista en el campo durante el partido.,10
NO,E,Ayer fueron al teatro.,Ayer fueron al cine a ver una película divertida.,10
NO,E,El coche era azul.,El coche rojo aparcó frente a la casa de Marta.,10
NO,E,El niño juega solo en el parque.,El niño juega en el parque con su mejor amigo.,10
No,E,El bebé dormía plácidamente.,El bebé lloraba constantemente durante la noche sin razón aparente.,10
SI,A,Ana escribió la carta desde la playa.,Ana escribió una carta a su abuela desde la playa.,10
SI,E,Había fuego en la plaza.,Carlos quemó a la página en la plaza en pocos minutos.,10
NO,E,El beso tuvo lugar en un museo.,Francisco besó a la cruz en la iglesia durante unos segundos.,10
NO,E,El tren llegó con retraso.,El tren llegó puntual a la estación bajo la lluvia.,10
NO,E,Carlos tardó mucho en hacer el asalto.,Carlos asaltó la camioneta en el barrio en pocos instantes.,10
NO,E,Carmen vio una representación teatral.,Carmen odió a la vendedora en el cine durante la película.,10
NO,E,El autobus llegó puntual.,El autobús llegó con retraso a la parada equivocada del centro.,10
NO,E,Pedro observó durante unos minutos.,Pedro observó una secretaria en la oficina durante una hora.,10
SI,A,Felipe es presentador de teatro.,Felipe anunció a una cantante en el escenario en cinco minutos.,10
NO,E,El avión despegó con retraso.,El avión despegó puntualmente a la siete de la mañana.,10
SI,A,La cena se preparó en casa.,Mi madre preparó la cena a toda la familia en casa.,10
SI,A,Laura se fue a Inglaterra.,Laura se fue de vacaciones a Londres la semana pasada.,10
SI,A,El gato está sobre la manta cerca del sofá.,El gato duerme tranquilo sobre la manta cerca del sofá.,10
