id,type,sentence,hasQuestion,question,answer
0,0,Juan golpeó a la actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI
0,1,Juan golpeó a una actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI
0,2,Juan golpeó a la piedra en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI
0,3,Juan golpeó la actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI
0,4,Juan golpeó una actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI
0,5,Juan golpeó la piedra en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI
1,0,Carlos asaltó a la conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO
1,1,Carlos asaltó a una conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO
1,2,Carlos asaltó a la camioneta en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO
1,3,Carlos asaltó la conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO
1,4,Carlos asaltó una conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO
1,5,Carlos asaltó la camioneta en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO
2,0,Simón pateó a la jugadora en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO
2,1,Simón pateó a una jugadora en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO
2,2,Simón pateó a la pelota en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO
2,3,Simón pateó la jugadora en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO
2,4,Simón pateó una jugadora en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO
2,5,Simón pateó la pelota en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO
3,0,Pablo secuestró a la turista en el aeropuerto durante una hora.,True,Lo que Pedro hizo fue un secuestro.,SI
3,1,Pablo secuestró a una turista en el aeropuerto durante una hora.,True,Lo que Pedro hizo fue un secuestro.,SI
3,2,Pablo secuestró a la camioneta en el aeropuerto durante una hora.,True,Lo que Pedro hizo fue un secuestro.,SI
3,3,Pablo secuestró la turista en el aeropuerto durante una hora.,True,Lo que Pedro hizo fue un secuestro.,SI
3,4,Pablo secuestró una turista en el aeropuerto durante una hora.,True,Lo que Pedro hizo fue un secuestro.,SI
3,5,Pablo secuestró la camioneta en el aeropuerto durante una hora.,True,Lo que Pedro hizo fue un secuestro.,SI
4,0,Jorge arrolló a la ciclista en la calle en un segundo.,False,,
4,1,Jorge arrolló a una ciclista en la calle en un segundo.,False,,
4,2,Jorge arrolló a la valla en la calle en un segundo.,False,,
4,3,Jorge arrolló la ciclista en la calle en un segundo.,False,,
4,4,Jorge arrolló una ciclista en la calle en un segundo.,False,,
4,5,Jorge arrolló la valla en la calle en un segundo.,False,,
5,0,Manuel abrazó a la señora en el parque en pocos instantes.,False,,
5,1,Manuel abrazó a una señora en el parque en pocos instantes.,False,,
5,2,Manuel abrazó a la planta en el parque en pocos instantes.,False,,
5,3,Manuel abrazó la señora en el parque en pocos instantes.,False,,
5,4,Manuel abrazó una señora en el parque en pocos instantes.,False,,
5,5,Manuel abrazó la planta en el parque en pocos instantes.,False,,
6,0,Francisco besó a la novia en la iglesia durante unos segundos.,True,El beso tuvo lugar en un museo.,NO
6,1,Francisco besó a una novia en la iglesia durante unos segundos.,True,El beso tuvo lugar en un museo.,NO
6,2,Francisco besó a la cruz en la iglesia durante unos segundos.,True,El beso tuvo lugar en un museo.,NO
6,3,Francisco besó la novia en la iglesia durante unos segundos.,True,El beso tuvo lugar en un museo.,NO
6,4,Francisco besó una novia en la iglesia durante unos segundos.,True,El beso tuvo lugar en un museo.,NO
6,5,Francisco besó la cruz en la iglesia durante unos segundos.,True,El beso tuvo lugar en un museo.,NO
7,0,Tomás empujó a la vieja a la puerta en pocos segundos.,False,,
7,1,Tomás empujó a una vieja a la puerta en pocos segundos.,False,,
7,2,Tomás empujó a la silla a la puerta en pocos segundos.,False,,
7,3,Tomás empujó la vieja a la puerta en pocos segundos.,False,,
7,4,Tomás empujó una vieja a la puerta en pocos segundos.,False,,
7,5,Tomás empujó la silla a la puerta en pocos segundos.,False,,
8,0,Helena colgó a la criminal en el patio en cinco minutos.,True,Helena estaba en el patio.,SI
8,1,Helena colgó a una criminal en el patio en cinco minutos.,True,Helena estaba en el patio.,SI
8,2,Helena colgó a la fotografía en el patio en cinco minutos.,True,Helena estaba en el patio.,SI
8,3,Helena colgó la criminal en el patio en cinco minutos.,True,Helena estaba en el patio.,SI
8,4,Helena colgó una criminal en el patio en cinco minutos.,True,Helena estaba en el patio.,SI
8,5,Helena colgó la fotografía en el patio en cinco minutos.,True,Helena estaba en el patio.,SI
9,0,Carlos quemó a la bruja en la plaza en pocos minutos.,True,Había fuego en la plaza.,SI
9,1,Carlos quemó a una bruja en la plaza en pocos minutos.,True,Había fuego en la plaza.,SI
9,2,Carlos quemó a la página en la plaza en pocos minutos.,True,Había fuego en la plaza.,SI
9,3,Carlos quemó la bruja en la plaza en pocos minutos.,True,Había fuego en la plaza.,SI
9,4,Carlos quemó una bruja en la plaza en pocos minutos.,True,Había fuego en la plaza.,SI
9,5,Carlos quemó la página en la plaza en pocos minutos.,True,Había fuego en la plaza.,SI
10,0,Mateo eliminó a la rehén en el banco en pocos segundos.,False,,
10,1,Mateo eliminó a una rehén en el banco en pocos segundos.,False,,
10,2,Mateo eliminó a la carpeta en el banco en pocos segundos.,False,,
10,3,Mateo eliminó la rehén en el banco en pocos segundos.,False,,
10,4,Mateo eliminó una rehén en el banco en pocos segundos.,False,,
10,5,Mateo eliminó la carpeta en el banco en pocos segundos.,False,,
11,0,Valeria neutralizó a la criminal en la frontera en cinco minutos.,False,,
11,1,Valeria neutralizó a una criminal en la frontera en cinco minutos.,False,,
11,2,Valeria neutralizó a la bomba en la frontera en cinco minutos.,False,,
11,3,Valeria neutralizó la criminal en la frontera en cinco minutos.,False,,
11,4,Valeria neutralizó una criminal en la frontera en cinco minutos.,False,,
11,5,Valeria neutralizó la bomba en la frontera en cinco minutos.,False,,
12,0,Paula abatió a la contrincante en el ring en pocos minutos.,True,El combate duró varias horas.,NO
12,1,Paula abatió a una contrincante en el ring en pocos minutos.,True,El combate duró varias horas.,NO
12,2,Paula abatió a la resistencia en el ring en pocos minutos.,True,El combate duró varias horas.,NO
12,3,Paula abatió la contrincante en el ring en pocos minutos.,True,El combate duró varias horas.,NO
12,4,Paula abatió una contrincante en el ring en pocos minutos.,True,El combate duró varias horas.,NO
12,5,Paula abatió la resistencia en el ring en pocos minutos.,True,El combate duró varias horas.,NO
13,0,Martina atropelló a la anciana en el aparcamiento en pocos minutos.,False,,
13,1,Martina atropelló a una anciana en el aparcamiento en pocos minutos.,False,,
13,2,Martina atropelló a la carreta en el aparcamiento en pocos minutos.,False,,
13,3,Martina atropelló la anciana en el aparcamiento en pocos minutos.,False,,
13,4,Martina atropelló una anciana en el aparcamiento en pocos minutos.,False,,
13,5,Martina atropelló la carreta en el aparcamiento en pocos minutos.,False,,
14,0,Helena derribó a la futbolista en el campo durante el partido.,True,Helena estaba jugando un partido de fútbol.,SI
14,1,Helena derribó a una futbolista en el campo durante el partido.,True,Helena estaba jugando un partido de fútbol.,SI
14,2,Helena derribó a la barrera en el campo durante el partido.,True,Helena estaba en un campo de fútbol.,SI
14,3,Helena derribó la futbolista en el campo durante el partido.,True,Helena estaba jugando un partido de fútbol.,SI
14,4,Helena derribó una futbolista en el campo durante el partido.,True,Helena estaba jugando un partido de fútbol.,SI
14,5,Helena derribó la barrera en el campo durante el partido.,True,Helena estaba en un campo de fútbol.,SI
15,0,Lucía destrozó a la oponente en el bar en diez minutos.,True,Lucia estuvo en una pelea de bar.,SI
15,1,Lucía destrozó a una oponente en el bar en diez minutos.,True,Lucia estuvo en una pelea de bar.,SI
15,2,Lucía destrozó a la mesa en el bar en diez minutos.,True,Lucia estaba en un bar.,SI
15,3,Lucía destrozó la oponente en el bar en diez minutos.,True,Lucia estuvo en una pelea de bar.,SI
15,4,Lucía destrozó una oponente en el bar en diez minutos.,True,Lucia estuvo en una pelea de bar.,SI
15,5,Lucía destrozó la mesa en el bar en diez minutos.,True,Lucia estaba en un bar.,SI
16,0,Valentina venció a la adversaria en la guerra en dos años.,True,La guerra duró más de dos años.,NO
16,1,Valentina venció a una adversaria en la guerra en dos años.,True,La guerra duró más de dos años.,NO
16,2,Valentina venció a la resistencia en la guerra en dos años.,True,La guerra duró más de dos años.,NO
16,3,Valentina venció la adversaria en la guerra en dos años.,True,La guerra duró más de dos años.,NO
16,4,Valentina venció una adversaria en la guerra en dos años.,True,La guerra duró más de dos años.,NO
16,5,Valentina venció la resistencia en la guerra en dos años.,True,La guerra duró más de dos años.,NO
17,0,Luis zarandeó a la mujer en la casa durante algunos minutos.,False,,
17,1,Luis zarandeó a una mujer en la casa durante algunos minutos.,False,,
