acceptability,id,type,live_row,sentence,subject_nr,catalan,latin,animate,indefinite,affected,DOM
0,16,5,0,Valentina venció la resistencia en la guerra en dos años.,10,0,1,0,0,1,0
3,39,5,1,Valeria admiró la escenografía en el teatro durante el concierto.,10,0,1,0,0,0,0
0,19,5,2,Lucas arrastró la carreta en la calle por un tiempo.,10,0,1,0,0,1,0
1,46,5,3,Alejandro identificó la amenaza en el aeropuerto en dos horas.,10,0,1,0,0,0,0
2,29,2,4,Alfonso miró a la estrella en la colina durante dos horas.,10,0,1,0,0,0,1
0,0,4,5,Juan golpeó una actriz en la calle en diez segundos.,10,0,1,1,1,1,0
1,17,3,6,Luis zarandeó la mujer en la casa durante algunos minutos.,10,0,1,1,0,1,0
0,2,3,7,Simón pateó la jugadora en la cancha en un instante.,10,0,1,1,0,1,0
0,43,1,8,Sofía conoció a una chica en el colegio en dos días.,10,0,1,1,1,0,1
0,40,3,9,Adrián percibió la mujer detrás de él durante algunos minutos.,10,0,1,1,0,0,0
1,25,0,10,Pedro observó a la secretaria en la oficina durante una hora.,10,0,1,1,0,0,1
2,12,3,11,Paula abatió la contrincante en el ring en pocos minutos.,10,0,1,1,0,1,0
2,47,1,12,Marta descartó a una aspirante en la selección en un día.,10,0,1,1,1,0,1
4,30,2,13,Carlos esperó a la furgoneta en la esquina durante una hora.,10,0,1,0,0,0,1
2,27,1,14,Felipe anunció a una cantante en el escenario en cinco minutos.,10,0,1,1,1,0,1
1,49,4,15,Alba mencionó una actriz en el teatro tras varios minutos.,10,0,1,1,1,0,0
1,10,4,16,Mateo eliminó una rehén en el banco en pocos segundos.,10,0,1,1,1,1,0
2,20,0,17,Claudia maltrató a la compañera en la casa durante varios años.,10,0,1,1,0,1,1
3,21,5,18,Hugo apaleó la muñeca en la calle durante varios minutos.,10,0,1,0,0,1,0
0,24,2,19,Coral guió a la decisión en el palacio en una hora.,10,0,1,0,0,1,1
0,13,0,20,Martina atropelló a la anciana en el aparcamiento en pocos minutos.,10,0,1,1,0,1,1
1,14,5,21,Helena derribó la barrera en el campo durante el partido.,10,0,1,0,0,1,0
1,1,1,22,Carlos asaltó a una conductora en el barrio en pocos instantes.,10,0,1,1,1,1,1
2,28,2,23,Anna comprendió a la tarea en la escuela en dos minutos.,10,0,1,0,0,0,1
1,6,1,24,Francisco besó a una novia en la iglesia durante unos segundos.,10,0,1,1,1,1,1
3,18,4,25,María transportó una mochilera en la furgoneta durante un día.,10,0,1,1,1,1,0
2,38,3,26,Unai amó la jovencita en su pueblo durante varios años.,10,0,1,1,0,0,0
1,36,3,27,Irene oyó la niña en la sala durante una noche.,10,0,1,1,0,0,0
1,26,5,28,Juan escuchó la alarma en el balcón durante una noche.,10,0,1,0,0,0,0
1,15,2,29,Lucía destrozó a la mesa en el bar en diez minutos.,10,0,1,0,0,1,1
1,7,4,30,Tomás empujó una vieja a la puerta en pocos segundos.,10,0,1,1,1,1,0
3,42,0,31,Ismael encontró a la conocida en la carretera en pocas horas.,10,0,1,1,0,0,1
0,5,0,32,Manuel abrazó a la señora en el parque en pocos instantes.,10,0,1,1,0,1,1
4,41,1,33,Emma investigó a una empresaria en la ciudad durante varias semanas.,10,0,1,1,1,0,1
2,9,4,34,Carlos quemó una bruja en la plaza en pocos minutos.,10,0,1,1,1,1,0
3,35,5,35,Carlos vigiló la operación en la habitación durante unas horas.,10,0,1,0,0,0,0
4,37,2,36,Isabel vió a la tormenta desde su ventana durante una mañana.,10,0,1,0,0,0,1
3,45,3,37,Gabriela localizó la amiga en la ciudad en dos minutos.,10,0,1,1,0,0,0
2,32,3,38,Martín buscó la médica en el hospital durante dos horas.,10,0,1,1,0,0,0
4,11,4,39,Valeria neutralizó una criminal en la frontera en cinco minutos.,10,0,1,1,1,1,0
1,23,0,40,Daniel remolcó a la enferma en la calle durante algunos minutos.,10,0,1,1,0,1,1
4,3,4,41,Pablo secuestró una turista en el aeropuerto durante una hora.,10,0,1,1,1,1,0
1,33,2,42,Marco imaginó a la fiesta en la playa durante dos minutos.,10,0,1,0,0,0,1
3,44,0,43,Martín detectó a la intrusa en el hospital en dos minutos.,10,0,1,1,0,0,1
2,4,5,44,Jorge arrolló la valla en la calle en un segundo.,10,0,1,0,0,1,0
2,22,1,45,Carla asedió a una contrincante en la región durante bastante tiempo.,10,0,1,1,1,1,1
3,8,0,46,Helena colgó a la criminal en el patio en cinco minutos.,10,0,1,1,0,1,1
4,48,0,47,Samuel descubrió a la infiltrada en el museo en pocas horas.,10,0,1,1,0,0,1
1,34,1,48,Carmen odió a una vendedora en el cine durante la película.,10,0,1,1,1,0,1
1,31,2,49,Miguel recibió a la caja en la casa en un día.,10,0,1,0,0,0,1
1,17,1,0,Luis zarandeó a una mujer en la casa durante algunos minutos.,11,0,0,1,1,1,1
4,36,5,1,Irene oyó la discusión en la sala durante una noche.,11,0,0,0,0,0,0
1,5,0,2,Manuel abrazó a la señora en el parque en pocos instantes.,11,0,0,1,0,1,1
1,10,4,3,Mateo eliminó una rehén en el banco en pocos segundos.,11,0,0,1,1,1,0
2,27,4,4,Felipe anunció una cantante en el escenario en cinco minutos.,11,0,0,1,1,0,0
3,12,0,5,Paula abatió a la contrincante en el ring en pocos minutos.,11,0,0,1,0,1,1
2,11,5,6,Valeria neutralizó la bomba en la frontera en cinco minutos.,11,0,0,0,0,1,0
1,15,1,7,Lucía destrozó a una oponente en el bar en diez minutos.,11,0,0,1,1,1,1
1,2,1,8,Simón pateó a una jugadora en la cancha en un instante.,11,0,0,1,1,1,1
1,29,1,9,Alfonso miró a una granjera en la colina durante dos horas.,11,0,0,1,1,0,1
1,19,3,10,Lucas arrastró la víctima en la calle por un tiempo.,11,0,0,1,0,1,0
0,20,2,11,Claudia maltrató a la camiseta en la casa durante varios años.,11,0,0,0,0,1,1
1,24,3,12,Coral guió la turista en el palacio en una hora.,11,0,0,1,0,1,0
1,0,5,13,Juan golpeó la piedra en la calle en diez segundos.,11,0,0,0,0,1,0
2,14,2,14,Helena derribó a la barrera en el campo durante el partido.,11,0,0,0,0,1,1
0,22,0,15,Carla asedió a la contrincante en la región durante bastante tiempo.,11,0,0,1,0,1,1
3,18,4,16,María transportó una mochilera en la furgoneta durante un día.,11,0,0,1,1,1,0
1,1,0,17,Carlos asaltó a la conductora en el barrio en pocos instantes.,11,0,0,1,0,1,1
2,38,5,18,Unai amó la vida en su pueblo durante varios años.,11,0,0,0,0,0,0
4,30,1,19,Carlos esperó a una profesora en la esquina durante una hora.,11,0,0,1,1,0,1
4,39,0,20,Valeria admiró a la cantante en el teatro durante el concierto.,11,0,0,1,0,0,1
1,16,5,21,Valentina venció la resistencia en la guerra en dos años.,11,0,0,0,0,1,0
1,33,1,22,Marco imaginó a una amiga en la playa durante dos minutos.,11,0,0,1,1,0,1
3,35,3,23,Carlos vigiló la niña en la habitación durante unas horas.,11,0,0,1,0,0,0
3,42,1,24,Ismael encontró a una conocida en la carretera en pocas horas.,11,0,0,1,1,0,1
1,4,4,25,Jorge arrolló una ciclista en la calle en un segundo.,11,0,0,1,1,1,0
1,26,2,26,Juan escuchó a la alarma en el balcón durante una noche.,11,0,0,0,0,0,1
1,25,3,27,Pedro observó la secretaria en la oficina durante una hora.,11,0,0,1,0,0,0
1,46,4,28,Alejandro identificó una agresora en el aeropuerto en dos horas.,11,0,0,1,1,0,0
1,21,3,29,Hugo apaleó la rebelde en la calle durante varios minutos.,11,0,0,1,0,1,0
4,40,5,30,Adrián percibió la sombra detrás de él durante algunos minutos.,11,0,0,0,0,0,0
3,49,0,31,Alba mencionó a la actriz en el teatro tras varios minutos.,11,0,0,1,0,0,1
1,48,2,32,Samuel descubrió a la tabla en el museo en pocas horas.,11,0,0,0,0,0,1
4,43,5,33,Sofía conoció la verdad en el colegio en dos días.,11,0,0,0,0,0,0
4,31,5,34,Miguel recibió la caja en la casa en un día.,11,0,0,0,0,0,0
1,28,2,35,Anna comprendió a la tarea en la escuela en dos minutos.,11,0,0,0,0,0,1
4,34,2,36,Carmen odió a la música en el cine durante la película.,11,0,0,0,0,0,1
2,47,4,37,Marta descartó una aspirante en la selección en un día.,11,0,0,1,1,0,0
4,45,0,38,Gabriela localizó a la amiga en la ciudad en dos minutos.,11,0,0,1,0,0,1
3,6,3,39,Francisco besó la novia en la iglesia durante unos segundos.,11,0,0,1,0,1,0
1,9,2,40,Carlos quemó a la página en la plaza en pocos minutos.,11,0,0,0,0,1,1
4,44,0,41,Martín detectó a la intrusa en el hospital en dos minutos.,11,0,0,1,0,0,1
4,37,1,42,Isabel vió a una estudiante desde su ventana durante una mañana.,11,0,0,1,1,0,1
2,8,3,43,Helena colgó la criminal en el patio en cinco minutos.,11,0,0,1,0,1,0
4,13,4,44,Martina atropelló una anciana en el aparcamiento en pocos minutos.,11,0,0,1,1,1,0
3,7,4,45,Tomás empujó una vieja a la puerta en pocos segundos.,11,0,0,1,1,1,0
4,32,0,46,Martín buscó a la médica en el hospital durante dos horas.,11,0,0,1,0,0,1
4,23,5,47,Daniel remolcó la motocicleta en la calle durante algunos minutos.,11,0,0,0,0,1,0
3,3,3,48,Pablo secuestró la turista en el aeropuerto durante una hora.,11,0,0,1,0,1,0
3,41,2,49,Emma investigó a la epidemia en la ciudad durante varias semanas.,11,0,0,0,0,0,1
0,3,2,0,Pablo secuestró a la camioneta en el aeropuerto durante una hora.,12,1,0,0,0,1,1
1,1,2,1,Carlos asaltó a la camioneta en el barrio en pocos instantes.,12,1,0,0,0,1,1
