id,type,DOM,sentence,surprisal_list,surprisal_obj
7,1,1,Tomás empujó a una vieja a la puerta en pocos segundos.,"[('ĠempujÃ³', 8.14474612439365), ('Ġa', 2.13022939631261), ('Ġuna', 7.844654284833739), ('Ġvieja', 2.819877074550059), ('Ġa', 6.1314539237780945), ('Ġla', 1.679387196034809), ('Ġpuerta', 3.488215414415002), ('Ġen', 9.242265105694923), ('Ġpocos', 5.897579532383985), 1.1693719569705465]",2.819877074550059
7,4,0,Tomás empujó una vieja a la puerta en pocos segundos.,"[('ĠempujÃ³', 8.14474612439365), ('Ġuna', 5.906032823639194), ('Ġvieja', 4.371760460818803), ('Ġa', 11.541560327111707), ('Ġla', 1.9273504061875997), ('Ġpuerta', 3.7306311521815623), ('Ġen', 8.566001805278221), ('Ġpocos', 6.125818396274622), 1.1609186657153376]",4.371760460818803
7,2,1,Tomás empujó a la silla a la puerta en pocos segundos.,"[('ĠempujÃ³', 8.14474612439365), ('Ġa', 2.13022939631261), ('Ġla', 4.05757980250021), ('Ġsilla', 2.7557509354187486), ('Ġa', 6.762633004167016), ('Ġla', 3.358774392069618), ('Ġpuerta', 2.8064926967293116), ('Ġen', 8.926675565500462), ('Ġpocos', 6.294884221378798), 1.2285449957570078]",2.7557509354187486
7,5,0,Tomás empujó la silla a la puerta en pocos segundos.,"[('ĠempujÃ³', 8.14474612439365), ('Ġla', 2.2203978363681705), ('Ġsilla', 1.1496476107083928), ('Ġa', 5.635527503472513), ('Ġla', 2.3331083864376208), ('Ġpuerta', 3.0657269618890473), ('Ġen', 9.242265105694923), ('Ġpocos', 6.146951624412644), 1.0355281787630743]",1.1496476107083928
11,0,1,Valeria neutralizó a la criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 12.661151791134913), ('Ġa', 1.4539660958959084), ('Ġla', 3.764532372319639), ('Ġcriminal', 9.287349325722703), ('Ġen', 5.252311633236382), ('Ġla', 2.7614084767015314), ('Ġfrontera', 4.153361756279932), ('Ġen', 6.988054104305917), ('Ġcinco', 10.234117946306085), 1.9301681699393358]",9.287349325722703
11,1,1,Valeria neutralizó a una criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 12.661151791134913), ('Ġa', 1.4539660958959084), ('Ġuna', 5.3875642933197225), ('Ġcriminal', 7.754485844778179), ('Ġen', 3.291148062027948), ('Ġla', 2.8064926967293116), ('Ġfrontera', 3.7926879960576914), ('Ġen', 6.852801444222576), ('Ġcinco', 11.000549686778346), 2.2725264657752913]",7.754485844778179
11,3,0,Valeria neutralizó la criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 12.661151791134914), ('Ġla', 3.2460638420001677), ('Ġcriminal', 12.62358160777843), ('Ġen', 6.266706583861435), ('Ġla', 2.930474301805707), ('Ġfrontera', 4.063193316224372), ('Ġen', 7.168390984417037), ('Ġcinco', 9.377517765778263), 2.0907807037883024]",12.62358160777843
11,4,0,Valeria neutralizó una criminal en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 12.661151791134914), ('Ġuna', 5.860948603611414), ('Ġcriminal', 13.074423808056231), ('Ġen', 4.05757980250021), ('Ġla', 3.043184851875157), ('Ġfrontera', 3.5672668959187908), ('Ġen', 7.348727864528158), ('Ġcinco', 10.279202166333864), 2.4514544640105433]",13.074423808056231
11,2,1,Valeria neutralizó a la bomba en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 12.661151791134913), ('Ġa', 1.4539660958959084), ('Ġla', 3.764532372319639), ('Ġbomba', 5.0240727693457465), ('Ġen', 4.19283246258355), ('Ġla', 2.6937821466598613), ('Ġfrontera', 4.463337782750231), ('Ġen', 7.574148964667058), ('Ġcinco', 8.47583336522266), 2.159815915705841]",5.0240727693457465
11,5,0,Valeria neutralizó la bomba en la frontera en cinco minutos.,"[('ĠneutralizÃ³', 12.661151791134913), ('Ġla', 3.1558954019446075), ('Ġbomba', 3.20659313569655), ('Ġen', 3.5391112721807385), ('Ġla', 2.5247163215556863), ('Ġfrontera', 4.508422002778011), ('Ġen', 7.483980524611498), ('Ġcinco', 8.29549648511154), 2.0654208300226764]",3.20659313569655
32,0,1,Martín buscó a la médica en el hospital durante dos horas.,"[('ĠbuscÃ³', 11.535924799608235), ('Ġa', 3.741990262305749), ('Ġla', 3.9899534724585397), ('ĠmÃ©dica', 4.057227582031243), ('Ġen', 4.12520613254188), ('Ġel', 2.2767531114028956), ('Ġhospital', 2.2992952214167857), ('Ġdurante', 9.828359966056064), ('Ġdos', 4.01249558247243), 2.5585294865765214]",4.057227582031243
32,1,1,Martín buscó a una médica en el hospital durante dos horas.,"[('ĠbuscÃ³', 11.535924799608235), ('Ġa', 3.741990262305749), ('Ġuna', 6.672464564111456), ('ĠmÃ©dica', 3.519386925918585), ('Ġen', 3.741990262305749), ('Ġel', 3.020642741861267), ('Ġhospital', 2.502174211541796), ('Ġdurante', 9.602938865917164), ('Ġdos', 4.17029035256966), 2.5021742115417958]",3.519386925918585
