acceptability,live_row,sentence,subject_nr,catalan,latin,id,type,affected
4,0,Lo que Juan le hizo a la actriz fue golpearla.,10,0,1,0,6,1
4,1,Lo que Helena hizo a la futbolista fue derribarla.,10,0,1,14,6,1
1,2,Lo que Isabel hizo a la estudiante fue verla.,10,0,1,37,6,0
2,3,Lo que Emma hizo a la empresaria fue investigarla.,10,0,1,41,6,0
1,4,Lo que Alejandro hizo a la agresora fue identificarla.,10,0,1,46,6,0
2,5,Lo que Samuel hizo a la infiltrada fue descubrirla.,10,0,1,48,6,0
2,6,Lo que Simón le hizo a la jugadora fue patearla.,10,0,1,2,6,1
2,7,Lo que Helena hizo a la criminal fue colgarla.,10,0,1,8,6,1
4,8,Lo que Claudia hizo a la compañera fue maltratarla.,10,0,1,20,6,1
2,9,Lo que Adrián hizo a la mujer fue percibirla.,10,0,1,40,6,0
3,10,Lo que Francisco hizo a la novia fue besarla.,10,0,1,6,6,1
4,11,Lo que Carlos hizo a la bruja fue quemarla.,10,0,1,9,6,1
1,12,Lo que Sofía hizo a la chica fue conocerla.,10,0,1,43,6,0
4,13,Lo que Lucía hizo a la oponente fue destrozarla.,10,0,1,15,6,1
3,14,Lo que Carlos hizo a la niña fue vigilarla.,10,0,1,35,6,0
1,15,Lo que Ismael hizo a la conocida fue encontrarla.,10,0,1,42,6,0
1,16,Lo que Carlos hizo a la profesora fue esperarla.,10,0,1,30,6,0
1,17,Lo que Anna hizo a la maestra fue comprenderla.,10,0,1,28,6,0
4,18,Lo que Carla hizo a la contrincante fue asediarla.,10,0,1,22,6,1
3,19,Lo que Jorge hizo a la ciclista fue arrollarla.,10,0,1,4,6,1
4,0,Lo que Pedro hizo a la secretaria fue observarla.,11,0,0,25,6,0
4,1,Lo que Helena hizo a la criminal fue colgarla.,11,0,0,8,6,1
2,2,Lo que Francisco hizo a la novia fue besarla.,11,0,0,6,6,1
3,3,Lo que Martina hizo a la anciana fue atropellarla.,11,0,0,13,6,1
3,4,Lo que Coral hizo a la turista fue guiarla.,11,0,0,24,6,1
3,5,Lo que Miguel hizo a la invitada fue recibirla.,11,0,0,31,6,0
