id,type,sentence,hasQuestion,question,answer,oov,gru_all,gru_obj,tf_all,tf_obj
0,0,Juan golpeó a la actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI,False,"[13.396, 15.4559, 1.0425, 2.0332, 14.4646, 2.563, 2.3316, 4.9773, 3.6245, 9.7251, 5.838]",14.4646,"[13.8078, 15.6002, 0.6611, 1.5091, 14.2109, 3.136, 1.8027, 5.2498, 3.7518, 9.1427, 5.3883]",14.2109
0,1,Juan golpeó a una actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI,False,"[13.396, 15.4559, 1.0425, 3.4247, 14.0008, 2.053, 2.155, 4.6862, 3.379, 9.6348, 5.9599]",14.0008,"[13.8078, 15.6002, 0.6611, 2.9302, 13.917, 2.9722, 1.8207, 5.349, 3.6132, 9.0363, 5.3453]",13.917
0,2,Juan golpeó a la piedra en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI,False,"[13.396, 15.4559, 1.0425, 2.0332, 13.5794, 2.2499, 2.5759, 6.0214, 3.6844, 8.9934, 5.6634]",13.5794,"[13.8078, 15.6002, 0.6611, 1.5091, 14.6525, 2.7525, 1.5022, 4.6359, 3.7186, 8.8985, 5.5942]",14.6525
0,3,Juan golpeó la actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI,False,"[13.396, 15.4559, 4.7878, 14.3251, 3.2807, 2.2081, 4.3223, 3.9456, 9.5342, 5.7785]",14.3251,"[13.8078, 15.6002, 3.24, 15.5382, 3.6354, 1.8005, 5.3573, 3.7856, 9.1921, 5.3774]",15.5382
0,4,Juan golpeó una actriz en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI,False,"[13.396, 15.4559, 6.4862, 14.596, 2.2092, 1.9358, 4.1546, 3.7645, 9.7438, 6.0103]",14.596,"[13.8078, 15.6002, 5.2468, 15.7388, 3.1222, 1.8506, 5.2724, 3.6205, 9.0712, 5.3399]",15.7388
0,5,Juan golpeó la piedra en la calle en diez segundos.,True,La acción tuvo lugar en la calle.,SI,False,"[13.396, 15.4559, 4.7878, 12.8654, 2.1753, 2.3801, 5.4705, 3.8063, 8.8403, 5.5784]",12.8654,"[13.8078, 15.6002, 3.24, 15.2804, 2.5427, 1.5017, 4.6264, 3.7188, 8.9792, 5.5809]",15.2804
1,0,Carlos asaltó a la conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO,False,"[13.3023, 13.7781, 1.9649, 1.6375, 13.693, 2.5186, 1.433, 6.2723, 4.5178, 7.5212, 7.0715]",13.693,"[13.8605, 14.2019, 2.0005, 1.7259, 13.6657, 3.4131, 1.0109, 7.3227, 4.7399, 8.3037, 9.3339]",13.6657
1,1,Carlos asaltó a una conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO,False,"[13.3023, 13.7781, 1.9649, 3.9083, 13.4712, 2.0066, 1.1642, 5.7196, 4.4686, 7.3071, 6.8969]",13.4712,"[13.8605, 14.2019, 2.0005, 3.1364, 12.6891, 2.605, 0.9583, 7.1427, 4.6694, 8.306, 9.415]",12.6891
1,2,Carlos asaltó a la camioneta en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO,False,"[13.3023, 13.7781, 1.9649, 1.6375, 14.3506, 2.8202, 1.5244, 6.5946, 4.5238, 7.1443, 7.3235]",14.3506,"[13.8605, 14.2019, 2.0005, 1.7259, 14.391, 2.7223, 1.1257, 7.3104, 4.5827, 7.9401, 9.5747]",14.391
1,3,Carlos asaltó la conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO,False,"[13.3023, 13.7781, 3.4152, 14.2221, 3.0186, 1.453, 5.726, 4.8888, 7.431, 7.2484]",14.2221,"[13.8605, 14.2019, 2.2602, 14.4332, 3.5628, 0.9899, 7.3671, 4.8636, 8.3436, 9.3625]",14.4332
1,4,Carlos asaltó una conductora en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO,False,"[13.3023, 13.7781, 5.3228, 14.2583, 2.0514, 1.1441, 5.5501, 4.8471, 7.4439, 7.0514]",14.2583,"[13.8605, 14.2019, 2.9561, 13.9578, 2.5633, 0.9504, 7.1336, 4.8717, 8.3308, 9.455]",13.9578
1,5,Carlos asaltó la camioneta en el barrio en pocos instantes.,True,Carlos tardó mucho en hacer el asalto.,NO,False,"[13.3023, 13.7781, 3.4152, 14.1286, 3.1384, 1.5455, 6.0977, 4.7796, 7.0393, 7.4764]",14.1286,"[13.8605, 14.2019, 2.2602, 14.3602, 2.6289, 1.1111, 7.4136, 4.6729, 8.0283, 9.6068]",14.3602
2,0,Simón pateó a la jugadora en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO,False,"[13.4307, 13.6805, 2.7374, 1.5678, 13.8531, 3.0309, 1.5632, 8.3554, 4.0023, 3.0904, 8.4207]",13.8531,"[13.8838, 13.7838, 2.3906, 1.7866, 13.6978, 3.2445, 1.7484, 5.8388, 4.0126, 2.9158, 7.4695]",13.6978
2,1,Simón pateó a una jugadora en la cancha en un instante.,True,La acción tuvo lugar en el parque.,NO,False,"[13.4307, 13.6805, 2.7374, 4.0077, 13.6517, 2.2501, 1.4876, 9.7205, 3.7822, 2.663, 8.3351]",13.6517,"[13.8838, 13.7838, 2.3906, 3.9307, 13.2384, 2.8156, 1.7681, 6.4704, 3.7721, 2.7218, 7.4141]",13.2384
